chargeDescription,codeUcr,count,comb,category
BURGLARY/FIRST DEGREE,6AE,1,BURGLARY/FIRST DEGREE - 6AE,1
BURGLARY/UNSPECIFIED,6AE,71,BURGLARY/UNSPECIFIED - 6AE,1
GRAND THEFT (Theft From Mot Veh) (F),6AE,4,GRAND THEFT (Theft From Mot Veh) (F) - 6AE,1
GRAND THEFT (Theft of Mot Veh Parts/Acc) (F),6AE,362,GRAND THEFT (Theft of Mot Veh Parts/Acc) (F) - 6AE,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6AE,1,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6AE,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6AE,20,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6AE,1
GRAND THEFT/UNSPECIFIED,6AE,2,GRAND THEFT/UNSPECIFIED - 6AE,1
PETTY THEFT,6AE,3,PETTY THEFT - 6AE,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6AE,4,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6AE,1
PETTY THEFT(from Veh) (M),6AE,2,PETTY THEFT(from Veh) (M) - 6AE,1
PETTY THEFT(Mot Veh Parts) (M),6AE,210,PETTY THEFT(Mot Veh Parts) (M) - 6AE,1
TAMPER WITH AUTO,6AE,9,TAMPER WITH AUTO - 6AE,1
THEFT (M),6AE,1,THEFT (M) - 6AE,1
GRAND THEFT (Theft From Building) (F),6AF,60,GRAND THEFT (Theft From Building) (F) - 6AF,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6AF,1297,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6AF,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,6AF,1,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400 - 6AF,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6AF,234,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6AF,1
GRAND THEFT/UNSPECIFIED,6AF,36,GRAND THEFT/UNSPECIFIED - 6AF,1
PETTY THEFT,6AF,31,PETTY THEFT - 6AF,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6AF,415,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6AF,1
PETTY THEFT(All Other Larceny) (M),6AF,814,PETTY THEFT(All Other Larceny) (M) - 6AF,1
PETTY THEFT(from Building) (M),6AF,54,PETTY THEFT(from Building) (M) - 6AF,1
SHOPLIFTING (M),6AF,1,SHOPLIFTING (M) - 6AF,1
TAKE BIKE W/O OWNER'S PERMISSION (M),6AF,3,TAKE BIKE W/O OWNER'S PERMISSION (M) - 6AF,1
THEFT,6AF,6,THEFT - 6AF,1
THEFT (M),6AF,54,THEFT (M) - 6AF,1
VEH THEFT:SPECIFIC PRS (F),6AF,1,VEH THEFT:SPECIFIC PRS (F) - 6AF,1
ATTEMPTED PETTY THEFT,6AG,2,ATTEMPTED PETTY THEFT - 6AG,1
BURGLARY (SHOPLIFTING) (M),6AG,7,BURGLARY (SHOPLIFTING) (M) - 6AG,1
GRAND THEFT - ANIMAL (F),6AG,14,GRAND THEFT - ANIMAL (F) - 6AG,1
GRAND THEFT (Theft From Building) (F),6AG,194,GRAND THEFT (Theft From Building) (F) - 6AG,1
GRAND THEFT DURING STATE OF EMERGENCY - LOOTING (F),6AG,4,GRAND THEFT DURING STATE OF EMERGENCY - LOOTING (F) - 6AG,1
GRAND THEFT FROM PERSON,6AG,3,GRAND THEFT FROM PERSON - 6AG,1
GRAND THEFT;MISCELLANEOUS,6AG,1,GRAND THEFT;MISCELLANEOUS - 6AG,1
"GRAND THEFT: VEHICLES, VESSELS/ETC (F)",6AG,1,"GRAND THEFT: VEHICLES, VESSELS/ETC (F) - 6AG",1
GRAND THEFT:CONVERT REAL PROPERTY [Over $950] (F),6AG,4,GRAND THEFT:CONVERT REAL PROPERTY [Over $950] (F) - 6AG,1
GRAND THEFT:COPPER MATERIALS $950 (F),6AG,1,GRAND THEFT:COPPER MATERIALS $950 (F) - 6AG,1
GRAND THEFT:DOG [OVER $950] (F),6AG,6,GRAND THEFT:DOG [OVER $950] (F) - 6AG,1
GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F),6AG,8,GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F) - 6AG,1
GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F),6AG,17,GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F) - 6AG,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6AG,3195,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6AG,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,6AG,1,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400 - 6AG,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6AG,547,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6AG,1
GRAND THEFT:STOLEN COPPER MATERIALS > $950 (F),6AG,3,GRAND THEFT:STOLEN COPPER MATERIALS > $950 (F) - 6AG,1
GRAND THEFT/UNSPECIFIED,6AG,121,GRAND THEFT/UNSPECIFIED - 6AG,1
PETTY THEFT,6AG,125,PETTY THEFT - 6AG,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6AG,392,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6AG,1
PETTY THEFT:DOG [$950 OR LESS] (M),6AG,3,PETTY THEFT:DOG [$950 OR LESS] (M) - 6AG,1
PETTY THEFT(All Other Larceny) (M),6AG,1268,PETTY THEFT(All Other Larceny) (M) - 6AG,1
PETTY THEFT(from Building) (M),6AG,213,PETTY THEFT(from Building) (M) - 6AG,1
PETTY THEFT(from Coin Oper Machine) (M),6AG,3,PETTY THEFT(from Coin Oper Machine) (M) - 6AG,1
PETTY THEFT(Pocket Picking) (M),6AG,18,PETTY THEFT(Pocket Picking) (M) - 6AG,1
SHOPLIFTING (M),6AG,144,SHOPLIFTING (M) - 6AG,1
THEFT,6AG,17,THEFT - 6AG,1
THEFT (M),6AG,114,THEFT (M) - 6AG,1
THEFT NOT EXCEEDING $950 (M),6AG,7,THEFT NOT EXCEEDING $950 (M) - 6AG,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6AH,3,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6AH,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6AH,1,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6AH,1
ATTEMPT OPERATE VEHICLE W/O OWNER'S CONSENT,6AI,1,ATTEMPT OPERATE VEHICLE W/O OWNER'S CONSENT - 6AI,1
ATTEMPTED GRAND THEFT,6AI,3,ATTEMPTED GRAND THEFT - 6AI,1
BURGLARY/UNSPECIFIED,6AI,4,BURGLARY/UNSPECIFIED - 6AI,1
GRAND THEFT - ANIMAL (F),6AI,7,GRAND THEFT - ANIMAL (F) - 6AI,1
GRAND THEFT (Mot Veh Theft) (F),6AI,4,GRAND THEFT (Mot Veh Theft) (F) - 6AI,1
GRAND THEFT (Theft From Building) (F),6AI,37,GRAND THEFT (Theft From Building) (F) - 6AI,1
GRAND THEFT (Theft From Coin Oper Machine or Dev) (F),6AI,1,GRAND THEFT (Theft From Coin Oper Machine or Dev) (F) - 6AI,1
GRAND THEFT / THEFT OF PERSONAL PROPERTY,6AI,1,GRAND THEFT / THEFT OF PERSONAL PROPERTY - 6AI,1
GRAND THEFT DURING STATE OF EMERGENCY - LOOTING (F),6AI,1,GRAND THEFT DURING STATE OF EMERGENCY - LOOTING (F) - 6AI,1
"GRAND THEFT FIREARM, ANIMAL, ETC.",6AI,2,"GRAND THEFT FIREARM, ANIMAL, ETC. - 6AI",1
GRAND THEFT FROM PERSON,6AI,9,GRAND THEFT FROM PERSON - 6AI,1
GRAND THEFT: CARGO EXCEEDS $950,6AI,15,GRAND THEFT: CARGO EXCEEDS $950 - 6AI,1
"GRAND THEFT: VEHICLES, VESSELS/ETC (F)",6AI,4,"GRAND THEFT: VEHICLES, VESSELS/ETC (F) - 6AI",1
GRAND THEFT:CONVERT REAL PROPERTY [Over $950] (F),6AI,2,GRAND THEFT:CONVERT REAL PROPERTY [Over $950] (F) - 6AI,1
GRAND THEFT:DOG [OVER $950] (F),6AI,1,GRAND THEFT:DOG [OVER $950] (F) - 6AI,1
GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F),6AI,1,GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F) - 6AI,1
GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F),6AI,1,GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F) - 6AI,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6AI,1005,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6AI,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6AI,190,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6AI,1
GRAND THEFT:STOLEN COPPER MATERIALS > $950 (F),6AI,3,GRAND THEFT:STOLEN COPPER MATERIALS > $950 (F) - 6AI,1
GRAND THEFT/UNSPECIFIED,6AI,61,GRAND THEFT/UNSPECIFIED - 6AI,1
PETTY THEFT,6AI,69,PETTY THEFT - 6AI,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6AI,98,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6AI,1
PETTY THEFT W/PR JAIL TERM (Theft From Building) (F),6AI,1,PETTY THEFT W/PR JAIL TERM (Theft From Building) (F) - 6AI,1
PETTY THEFT:DOG [$950 OR LESS] (M),6AI,1,PETTY THEFT:DOG [$950 OR LESS] (M) - 6AI,1
PETTY THEFT(All Other Larceny) (M),6AI,354,PETTY THEFT(All Other Larceny) (M) - 6AI,1
PETTY THEFT(from Building) (M),6AI,21,PETTY THEFT(from Building) (M) - 6AI,1
PETTY THEFT(from Coin Oper Machine) (M),6AI,1,PETTY THEFT(from Coin Oper Machine) (M) - 6AI,1
PETTY THEFT(Pocket Picking) (M),6AI,11,PETTY THEFT(Pocket Picking) (M) - 6AI,1
TAMPER WITH AUTO,6AI,4,TAMPER WITH AUTO - 6AI,1
THEFT,6AI,8,THEFT - 6AI,1
THEFT (M),6AI,64,THEFT (M) - 6AI,1
GRAND THEFT FROM PERS (Pocket-Picking) (F),6BA,4,GRAND THEFT FROM PERS (Pocket-Picking) (F) - 6BA,1
PETTY THEFT,6BA,1,PETTY THEFT - 6BA,1
GRAND THEFT FROM PERS (Purse-Snatching) (F),6BB,8,GRAND THEFT FROM PERS (Purse-Snatching) (F) - 6BB,1
PETTY THEFT,6BB,2,PETTY THEFT - 6BB,1
PETTY THEFT(All Other Larceny) (M),6BB,1,PETTY THEFT(All Other Larceny) (M) - 6BB,1
PETTY THEFT(Purse Snatch) (M),6BB,32,PETTY THEFT(Purse Snatch) (M) - 6BB,1
ATTEMPTED PETTY THEFT,6BC,1,ATTEMPTED PETTY THEFT - 6BC,1
BURGLARY (COMMERCIAL) (F),6BC,3,BURGLARY (COMMERCIAL) (F) - 6BC,1
BURGLARY (SHOPLIFTING) (F),6BC,11,BURGLARY (SHOPLIFTING) (F) - 6BC,1
BURGLARY (SHOPLIFTING) (M),6BC,37,BURGLARY (SHOPLIFTING) (M) - 6BC,1
BURGLARY/UNSPECIFIED,6BC,1,BURGLARY/UNSPECIFIED - 6BC,1
GRAND THEFT (Shoplifting) (F),6BC,13,GRAND THEFT (Shoplifting) (F) - 6BC,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6BC,3,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6BC,1
GRAND THEFT/UNSPECIFIED,6BC,3,GRAND THEFT/UNSPECIFIED - 6BC,1
PETTY THEFT,6BC,36,PETTY THEFT - 6BC,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6BC,10,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6BC,1
PETTY THEFT W/PR JAIL TERM (Shoplifting) (F),6BC,1,PETTY THEFT W/PR JAIL TERM (Shoplifting) (F) - 6BC,1
PETTY THEFT(from Building) (M),6BC,7,PETTY THEFT(from Building) (M) - 6BC,1
PETTY THEFT(Mot Veh Parts) (M),6BC,1,PETTY THEFT(Mot Veh Parts) (M) - 6BC,1
PETTY THEFT(Shoplift) (M),6BC,380,PETTY THEFT(Shoplift) (M) - 6BC,1
SHOPLIFTING (M),6BC,34,SHOPLIFTING (M) - 6BC,1
THEFT,6BC,4,THEFT - 6BC,1
THEFT (M),6BC,4,THEFT (M) - 6BC,1
ATTEMPTED PETTY THEFT,6BD,1,ATTEMPTED PETTY THEFT - 6BD,1
BURGLARY (RESIDENTIAL) (F),6BD,1,BURGLARY (RESIDENTIAL) (F) - 6BD,1
BURGLARY (VEHICLE) (F),6BD,1400,BURGLARY (VEHICLE) (F) - 6BD,1
BURGLARY/ SECOND DEGREE,6BD,4,BURGLARY/ SECOND DEGREE - 6BD,1
BURGLARY/FIRST DEGREE,6BD,2,BURGLARY/FIRST DEGREE - 6BD,1
BURGLARY/SECOND DEGREE,6BD,6,BURGLARY/SECOND DEGREE - 6BD,1
BURGLARY/UNSPECIFIED,6BD,334,BURGLARY/UNSPECIFIED - 6BD,1
GRAND THEFT (Theft From Mot Veh) (F),6BD,11,GRAND THEFT (Theft From Mot Veh) (F) - 6BD,1
GRAND THEFT:FIREARM/ANIMAL (Theft From Mot Veh) (F),6BD,1,GRAND THEFT:FIREARM/ANIMAL (Theft From Mot Veh) (F) - 6BD,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6BD,2,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6BD,1
GRAND THEFT/UNSPECIFIED,6BD,1,GRAND THEFT/UNSPECIFIED - 6BD,1
PETTY THEFT,6BD,56,PETTY THEFT - 6BD,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6BD,76,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6BD,1
PETTY THEFT(from Veh) (M),6BD,686,PETTY THEFT(from Veh) (M) - 6BD,1
TAMPER WITH AUTO,6BD,7,TAMPER WITH AUTO - 6BD,1
TAMPER WITH VEH,6BD,2,TAMPER WITH VEH - 6BD,1
THEFT,6BD,30,THEFT - 6BD,1
THEFT (M),6BD,10,THEFT (M) - 6BD,1
THEFT NOT EXCEEDING $950 (M),6BD,1,THEFT NOT EXCEEDING $950 (M) - 6BD,1
BURGLARY (VEHICLE) (F),6BE,64,BURGLARY (VEHICLE) (F) - 6BE,1
BURGLARY/SECOND DEGREE,6BE,1,BURGLARY/SECOND DEGREE - 6BE,1
BURGLARY/UNSPECIFIED,6BE,11,BURGLARY/UNSPECIFIED - 6BE,1
GRAND THEFT (Theft of Mot Veh Parts/Acc) (F),6BE,2,GRAND THEFT (Theft of Mot Veh Parts/Acc) (F) - 6BE,1
PETTY THEFT,6BE,2,PETTY THEFT - 6BE,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6BE,4,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6BE,1
PETTY THEFT(from Veh) (M),6BE,1,PETTY THEFT(from Veh) (M) - 6BE,1
PETTY THEFT(Mot Veh Parts) (M),6BE,138,PETTY THEFT(Mot Veh Parts) (M) - 6BE,1
TAMPER WITH AUTO,6BE,1,TAMPER WITH AUTO - 6BE,1
PETTY THEFT,6BF,27,PETTY THEFT - 6BF,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6BF,148,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6BF,1
PETTY THEFT(All Other Larceny) (M),6BF,484,PETTY THEFT(All Other Larceny) (M) - 6BF,1
PETTY THEFT(from Building) (M),6BF,26,PETTY THEFT(from Building) (M) - 6BF,1
TAKE BIKE W/O OWNER'S PERMISSION (M),6BF,4,TAKE BIKE W/O OWNER'S PERMISSION (M) - 6BF,1
THEFT,6BF,5,THEFT - 6BF,1
THEFT (M),6BF,37,THEFT (M) - 6BF,1
BURGLARY (SHOPLIFTING) (M),6BG,4,BURGLARY (SHOPLIFTING) (M) - 6BG,1
GRAND THEFT (Theft From Building) (F),6BG,3,GRAND THEFT (Theft From Building) (F) - 6BG,1
GRAND THEFT:CONVERT REAL PROPERTY [Over $950] (F),6BG,2,GRAND THEFT:CONVERT REAL PROPERTY [Over $950] (F) - 6BG,1
GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F),6BG,3,GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F) - 6BG,1
GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F),6BG,6,GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F) - 6BG,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6BG,23,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6BG,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6BG,2,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6BG,1
GRAND THEFT/UNSPECIFIED,6BG,1,GRAND THEFT/UNSPECIFIED - 6BG,1
PETTY THEFT,6BG,97,PETTY THEFT - 6BG,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6BG,229,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6BG,1
PETTY THEFT:DOG [$950 OR LESS] (M),6BG,2,PETTY THEFT:DOG [$950 OR LESS] (M) - 6BG,1
PETTY THEFT:DURING STATE OF EMERGENCY - LOOTING (M),6BG,1,PETTY THEFT:DURING STATE OF EMERGENCY - LOOTING (M) - 6BG,1
PETTY THEFT(All Other Larceny) (M),6BG,1079,PETTY THEFT(All Other Larceny) (M) - 6BG,1
PETTY THEFT(from Building) (M),6BG,200,PETTY THEFT(from Building) (M) - 6BG,1
PETTY THEFT(Pocket Picking) (M),6BG,10,PETTY THEFT(Pocket Picking) (M) - 6BG,1
SHOPLIFTING (M),6BG,136,SHOPLIFTING (M) - 6BG,1
THEFT,6BG,13,THEFT - 6BG,1
THEFT (M),6BG,92,THEFT (M) - 6BG,1
THEFT NOT EXCEEDING $950 (M),6BG,2,THEFT NOT EXCEEDING $950 (M) - 6BG,1
THEFT OF MERCHANDISE W/ INTENT TO SELL - POSSESSION (M),6BG,1,THEFT OF MERCHANDISE W/ INTENT TO SELL - POSSESSION (M) - 6BG,1
PETTY THEFT,6BH,1,PETTY THEFT - 6BH,1
PETTY THEFT(All Other Larceny) (M),6BH,1,PETTY THEFT(All Other Larceny) (M) - 6BH,1
PETTY THEFT(from Coin Oper Machine) (M),6BH,3,PETTY THEFT(from Coin Oper Machine) (M) - 6BH,1
GRAND THEFT FROM PERSON,6BI,6,GRAND THEFT FROM PERSON - 6BI,1
GRAND THEFT: CARGO EXCEEDS $950,6BI,1,GRAND THEFT: CARGO EXCEEDS $950 - 6BI,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6BI,5,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6BI,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6BI,1,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6BI,1
GRAND THEFT/UNSPECIFIED,6BI,1,GRAND THEFT/UNSPECIFIED - 6BI,1
PETTY THEFT,6BI,60,PETTY THEFT - 6BI,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6BI,47,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6BI,1
"PETTY THEFT,DOG VALUE $950 OR LESS",6BI,1,"PETTY THEFT,DOG VALUE $950 OR LESS - 6BI",1
PETTY THEFT:DOG [$950 OR LESS] (M),6BI,1,PETTY THEFT:DOG [$950 OR LESS] (M) - 6BI,1
PETTY THEFT(All Other Larceny) (M),6BI,258,PETTY THEFT(All Other Larceny) (M) - 6BI,1
PETTY THEFT(from Building) (M),6BI,33,PETTY THEFT(from Building) (M) - 6BI,1
PETTY THEFT(Pocket Picking) (M),6BI,3,PETTY THEFT(Pocket Picking) (M) - 6BI,1
SHOPLIFTING (M),6BI,2,SHOPLIFTING (M) - 6BI,1
TAMPER WITH AUTO,6BI,2,TAMPER WITH AUTO - 6BI,1
TAMPER WITH VEH,6BI,1,TAMPER WITH VEH - 6BI,1
THEFT,6BI,16,THEFT - 6BI,1
THEFT (M),6BI,50,THEFT (M) - 6BI,1
THEFT NOT EXCEEDING $950 (M),6BI,1,THEFT NOT EXCEEDING $950 (M) - 6BI,1
GRAND THEFT FROM PERS (Pocket-Picking) (F),6CA,4,GRAND THEFT FROM PERS (Pocket-Picking) (F) - 6CA,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6CA,1,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6CA,1
PETTY THEFT,6CA,2,PETTY THEFT - 6CA,1
PETTY THEFT(Pocket Picking) (M),6CA,4,PETTY THEFT(Pocket Picking) (M) - 6CA,1
THEFT,6CA,1,THEFT - 6CA,1
GRAND THEFT FROM PERS (Purse-Snatching) (F),6CB,11,GRAND THEFT FROM PERS (Purse-Snatching) (F) - 6CB,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6CB,1,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6CB,1
PETTY THEFT(Purse Snatch) (M),6CB,42,PETTY THEFT(Purse Snatch) (M) - 6CB,1
BURGLARY (SHOPLIFTING) (F),6CC,19,BURGLARY (SHOPLIFTING) (F) - 6CC,1
BURGLARY (SHOPLIFTING) (M),6CC,62,BURGLARY (SHOPLIFTING) (M) - 6CC,1
BURGLARY/FIRST DEGREE,6CC,1,BURGLARY/FIRST DEGREE - 6CC,1
BURGLARY/SECOND DEGREE,6CC,2,BURGLARY/SECOND DEGREE - 6CC,1
GRAND THEFT (Shoplifting) (F),6CC,13,GRAND THEFT (Shoplifting) (F) - 6CC,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6CC,1,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6CC,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6CC,2,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6CC,1
GRAND THEFT/UNSPECIFIED,6CC,2,GRAND THEFT/UNSPECIFIED - 6CC,1
PETTY THEFT,6CC,67,PETTY THEFT - 6CC,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6CC,18,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6CC,1
PETTY THEFT(All Other Larceny) (M),6CC,1,PETTY THEFT(All Other Larceny) (M) - 6CC,1
PETTY THEFT(from Building) (M),6CC,8,PETTY THEFT(from Building) (M) - 6CC,1
PETTY THEFT(Shoplift) (M),6CC,510,PETTY THEFT(Shoplift) (M) - 6CC,1
SHOPLIFTING (M),6CC,51,SHOPLIFTING (M) - 6CC,1
THEFT,6CC,5,THEFT - 6CC,1
THEFT (M),6CC,6,THEFT (M) - 6CC,1
ATTEMPTED PETTY THEFT,6CD,1,ATTEMPTED PETTY THEFT - 6CD,1
BURGLARY (RESIDENTIAL) (F),6CD,1,BURGLARY (RESIDENTIAL) (F) - 6CD,1
BURGLARY (VEHICLE) (F),6CD,1375,BURGLARY (VEHICLE) (F) - 6CD,1
BURGLARY/ SECOND DEGREE,6CD,1,BURGLARY/ SECOND DEGREE - 6CD,1
BURGLARY/FIRST DEGREE,6CD,1,BURGLARY/FIRST DEGREE - 6CD,1
BURGLARY/SECOND DEGREE,6CD,6,BURGLARY/SECOND DEGREE - 6CD,1
BURGLARY/UNSPECIFIED,6CD,321,BURGLARY/UNSPECIFIED - 6CD,1
GRAND THEFT (Theft From Mot Veh) (F),6CD,8,GRAND THEFT (Theft From Mot Veh) (F) - 6CD,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6CD,1,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6CD,1
PETTY THEFT,6CD,66,PETTY THEFT - 6CD,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6CD,91,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6CD,1
PETTY THEFT(from Veh) (M),6CD,689,PETTY THEFT(from Veh) (M) - 6CD,1
PETTY THEFT(Pocket Picking) (M),6CD,1,PETTY THEFT(Pocket Picking) (M) - 6CD,1
TAMPER WITH AUTO,6CD,12,TAMPER WITH AUTO - 6CD,1
THEFT,6CD,17,THEFT - 6CD,1
THEFT (M),6CD,7,THEFT (M) - 6CD,1
BURGLARY (VEHICLE) (F),6CE,52,BURGLARY (VEHICLE) (F) - 6CE,1
BURGLARY/UNSPECIFIED,6CE,14,BURGLARY/UNSPECIFIED - 6CE,1
PETTY THEFT,6CE,2,PETTY THEFT - 6CE,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6CE,5,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6CE,1
PETTY THEFT(All Other Larceny) (M),6CE,1,PETTY THEFT(All Other Larceny) (M) - 6CE,1
PETTY THEFT(Mot Veh Parts) (M),6CE,168,PETTY THEFT(Mot Veh Parts) (M) - 6CE,1
TAMPER WITH AUTO,6CE,1,TAMPER WITH AUTO - 6CE,1
GRAND THEFT (Theft From Building) (F),6CF,1,GRAND THEFT (Theft From Building) (F) - 6CF,1
PETTY THEFT,6CF,11,PETTY THEFT - 6CF,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6CF,40,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6CF,1
PETTY THEFT(All Other Larceny) (M),6CF,143,PETTY THEFT(All Other Larceny) (M) - 6CF,1
PETTY THEFT(from Building) (M),6CF,9,PETTY THEFT(from Building) (M) - 6CF,1
THEFT (M),6CF,9,THEFT (M) - 6CF,1
BURGLARY (SHOPLIFTING) (M),6CG,8,BURGLARY (SHOPLIFTING) (M) - 6CG,1
GRAND THEFT (Theft From Building) (F),6CG,1,GRAND THEFT (Theft From Building) (F) - 6CG,1
GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F),6CG,1,GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F) - 6CG,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6CG,18,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6CG,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6CG,3,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6CG,1
GRAND THEFT/UNSPECIFIED,6CG,1,GRAND THEFT/UNSPECIFIED - 6CG,1
PETTY THEFT,6CG,117,PETTY THEFT - 6CG,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6CG,267,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6CG,1
PETTY THEFT W/PR JAIL TERM (Theft From Building) (F),6CG,1,PETTY THEFT W/PR JAIL TERM (Theft From Building) (F) - 6CG,1
PETTY THEFT:DURING STATE OF EMERGENCY - LOOTING (M),6CG,1,PETTY THEFT:DURING STATE OF EMERGENCY - LOOTING (M) - 6CG,1
PETTY THEFT(All Other Larceny) (M),6CG,1183,PETTY THEFT(All Other Larceny) (M) - 6CG,1
PETTY THEFT(from Building) (M),6CG,232,PETTY THEFT(from Building) (M) - 6CG,1
PETTY THEFT(from Coin Oper Machine) (M),6CG,2,PETTY THEFT(from Coin Oper Machine) (M) - 6CG,1
